Company Name,Rating,Reviews,Industry,Location,Extra Locations
Hero MotoCorp,4.1,(4.8k),Automobile,Gurgaon / Gurugram,+343 other locations
Manappuram Finance,3.9,(4.8k),NBFC,Bangalore / Bengaluru,+592 other locations
JustDial,3.5,(4.7k),Internet,Noida,+209 other locations
Swiggy,3.7,(4.6k),Internet,Bangalore / Bengaluru,+214 other locations
Eviden,3.6,(4.6k),IT Services & Consulting,Pune,+36 other locations
vivo,4.1,(4.6k),Consumer Electronics & Appliances,Noida,+401 other locations
BNY,3.8,(4.6k),Financial Services,Pune,+22 other locations
SBI Cards & Payment Services,3.7,(4.6k),Financial Services,New Delhi,+404 other locations
IQVIA,3.8,(4.5k),Clinical Research,Bangalore / Bengaluru,+60 other locations
Kalpataru Projects International,4.2,(4.5k),Engineering & Construction,Mumbai,+288 other locations
PolicyBazaar,3.7,(4.5k),Internet,Gurgaon / Gurugram,+127 other locations
Atos,3.8,(4.5k),IT Services & Consulting,Pune,+48 other locations
TVS Motor,3.9,(4.5k),Automobile,Hosur,+325 other locations
CBRE,4.1,(4.5k),Real Estate,Hyderabad / Secunderabad,+86 other locations
Persistent Systems,3.6,(4.4k),IT Services & Consulting,Pune,+41 other locations
Home Credit Finance,4.1,(4.4k),NBFC,Gurgaon / Gurugram,+128 other locations
SBI Life Insurance Company,3.8,(4.4k),Insurance,Mumbai,+606 other locations
Amdocs,3.7,(4.3k),Software Product,Pune,+21 other locations
NTT Data,3.8,(4.3k),IT Services & Consulting,Bangalore / Bengaluru,+72 other locations
Nagarro,4.0,(4.3k),IT Services & Consulting,Gurgaon / Gurugram,+47 other locations
State Bank of India,3.8,(4.3k),Banking,Mumbai,+560 other locations
Schneider Electric,4.1,(4.3k),Industrial Automation,Bangalore / Bengaluru,+116 other locations
JBM Group,4.0,(4.3k),Auto Components,Gurgaon / Gurugram,+106 other locations
OPPO,4.0,(4.3k),Consumer Electronics & Appliances,Greater Noida,+393 other locations
Nagarjuna Construction Company,4.1,(4.3k),Engineering & Construction,Hyderabad / Secunderabad,+266 other locations
Ecom Express,3.9,(4.2k),Logistics,Gurgaon / Gurugram,+714 other locations
Bosch,4.1,(4.2k),Auto Components,Bangalore / Bengaluru,+117 other locations
Dell,3.9,(4.2k),Consumer Electronics & Appliances,Bangalore / Bengaluru,+109 other locations
Hewlett Packard Enterprise,4.2,(4.2k),IT Services & Consulting,Bangalore / Bengaluru,+97 other locations
Piramal Capital Housing Finance,4.2,(4.1k),NBFC,Mumbai,+368 other locations
Mahindra Logistics,3.9,(4.1k),Logistics,Pune,+229 other locations
Motilal Oswal Financial Services,3.8,(4.1k),Financial Services,Mumbai,+165 other locations
KEC International,4.0,(4.1k),Engineering & Construction,Mumbai,+296 other locations
ITC Infotech,3.7,(4k),IT Services & Consulting,Bangalore / Bengaluru,+65 other locations
Aditya Birla Fashion and Retail,4.1,(4k),Fashion & Textile,Bangalore / Bengaluru,+268 other locations
Varun Beverages,4.0,(4k),Beverage,New Delhi,+342 other locations
Randstad,3.7,(4k),Recruitment,Hyderabad / Secunderabad,+319 other locations
CARS24,3.5,(3.9k),Internet,Gurgaon / Gurugram,+166 other locations
Hyundai Motor India Limited,4.3,(3.9k),Automobile,Chennai,+274 other locations
Deutsche Bank,3.9,(3.9k),Banking,Pune,+42 other locations
L&T Finance,3.9,(3.9k),NBFC,Mumbai,+562 other locations
R1 RCM,3.8,(3.9k),BPO,New Delhi,+42 other locations
Havells,3.9,(3.9k),Electrical Equipment,Noida,+229 other locations
EY Global Delivery Services ( EY GDS),3.5,(3.8k),Accounting & Auditing,Bangalore / Bengaluru,+50 other locations
Intas Pharmaceuticals,4.1,(3.8k),Pharma,Ahmedabad,+135 other locations
Bajaj Auto,3.8,(3.7k),Automobile,Pune,+291 other locations
Team Lease,3.9,(3.7k),Recruitment,Bangalore / Bengaluru,+370 other locations
Hetero,3.9,(3.7k),Pharma,Hyderabad / Secunderabad,+62 other locations
Tata AIA Life Insurance,4.0,(3.7k),Insurance,Mumbai,+391 other locations
Access Healthcare,3.9,(3.7k),Analytics & KPO,Chennai,+45 other locations
Oyo Rooms,3.2,(3.7k),Internet,Gurgaon / Gurugram,+118 other locations
Macleods Pharmaceuticals,3.6,(3.7k),Pharma,Mumbai,+117 other locations
John Deere,4.0,(3.6k),Industrial Machinery,Pune,+140 other locations
Reliance Communications,4.0,(3.6k),Telecom,Mumbai,+456 other locations
Utkarsh Small Finance Bank,3.8,(3.6k),Banking,Varanasi,+360 other locations
Tata Communications,4.0,(3.6k),Telecom,Pune,+99 other locations
Thermax Limited,4.2,(3.6k),Industrial Machinery,Pune,+225 other locations
Royal Enfield,4.2,(3.6k),Automobile,Chennai,+351 other locations
LG Electronics,3.9,(3.6k),Consumer Electronics & Appliances,Pune,+283 other locations
Aakash Educational Services,3.4,(3.6k),Education & Training,New Delhi,+233 other locations
VE Commercial Vehicles,4.0,(3.5k),Automobile,Indore,+147 other locations
HDFC Ergo General Insurance,3.9,(3.5k),Insurance,Mumbai,+301 other locations
Lenskart,3.2,(3.5k),Internet,New Delhi,+220 other locations
Carelon Global Solutions,3.8,(3.5k),Software Product,Bangalore / Bengaluru,+17 other locations
DCB Bank,3.8,(3.5k),Banking,Mumbai,+328 other locations
Cummins,4.3,(3.5k),Industrial Machinery,Pune,+107 other locations
Berger Paints,3.7,(3.5k),Chemicals,Kolkata,+312 other locations
XpressBees,4.2,(3.5k),Pune +461 other locations,,N/A
Jubilant Foods Works,3.7,(3.5k),Hospitality,New Delhi,+236 other locations
Publicis Sapient,3.5,(3.5k),IT Services & Consulting,Bangalore / Bengaluru,+45 other locations
